Timestamp,Notified Production (MW),Actual Production (MW),Volue Forecast (MW),Solcast Forecast (MW),Volue Forecast (Filtered),Solcast Forecast (Filtered),Deviation_Actual,Deviation_ValueForecast,Deviation_SolcastForecast,Deviation_Final,Deviation_Final_ValueForecast,Deviation_Final_SolcastForecast
2024-12-16 00:15:00+01:00,881.0,756.0,1080.627289209308,,,,-125.0,199.62728920930795,,-125.0,,
2024-12-16 00:30:00+01:00,882.0,759.0,1080.627289209308,,,,-123.0,198.62728920930795,,-123.0,,
2024-12-16 00:45:00+01:00,878.0,791.0,1080.627289209308,,,,-87.0,202.62728920930795,,-87.0,,
2024-12-16 01:00:00+01:00,879.0,838.0,982.3176315604823,,,,-41.0,103.31763156048225,,-41.0,,
2024-12-16 01:15:00+01:00,831.0,809.0,982.3176315604823,,,,-22.0,151.31763156048225,,-22.0,,
2024-12-16 01:30:00+01:00,832.0,762.0,982.3176315604823,,,,-70.0,150.31763156048225,,-70.0,,
2024-12-16 01:45:00+01:00,829.0,702.0,982.3176315604823,,,,-127.0,153.31763156048225,,-127.0,,
2024-12-16 02:00:00+01:00,829.0,676.0,973.827030556897,,,,-153.0,144.82703055689694,,-153.0,,
2024-12-16 02:15:00+01:00,820.0,703.0,973.827030556897,,,,-117.0,153.82703055689694,,-117.0,,
2024-12-16 02:30:00+01:00,814.0,756.0,973.827030556897,,,,-58.0,159.82703055689694,,-58.0,,
2024-12-16 02:45:00+01:00,816.0,794.0,973.827030556897,,,,-22.0,157.82703055689694,,-22.0,,
2024-12-16 03:00:00+01:00,818.0,812.0,956.9567025829313,,,,-6.0,138.95670258293126,,-6.0,,
2024-12-16 03:15:00+01:00,847.0,857.0,956.9567025829313,,,,10.0,109.95670258293126,,10.0,,
2024-12-16 03:30:00+01:00,849.0,884.0,956.9567025829313,,,,35.0,107.95670258293126,,35.0,,
2024-12-16 03:45:00+01:00,847.0,906.0,956.9567025829313,,,,59.0,109.95670258293126,,59.0,,
2024-12-16 04:00:00+01:00,847.0,904.0,1016.2391203476697,,,,57.0,169.23912034766965,,57.0,,
2024-12-16 04:15:00+01:00,958.0,934.0,1016.2391203476697,,,,-24.0,58.239120347669655,,-24.0,,
2024-12-16 04:30:00+01:00,961.0,993.0,1016.2391203476697,,,,32.0,55.239120347669655,,32.0,,
2024-12-16 04:45:00+01:00,956.0,976.0,1016.2391203476697,,,,20.0,60.239120347669655,,20.0,,
2024-12-16 05:00:00+01:00,958.0,940.0,1097.6699665588253,,,,-18.0,139.6699665588253,,-18.0,,
2024-12-16 05:15:00+01:00,1076.0,938.0,1097.6699665588253,,,,-138.0,21.66996655882531,,-138.0,,
2024-12-16 05:30:00+01:00,1070.0,945.0,1097.6699665588253,,,,-125.0,27.66996655882531,,-125.0,,
2024-12-16 05:45:00+01:00,1071.0,952.0,1097.6699665588253,,,,-119.0,26.66996655882531,,-119.0,,
2024-12-16 06:00:00+01:00,1071.0,962.0,1180.0082261488355,,,,-109.0,109.00822614883555,,-109.0,,
2024-12-16 06:15:00+01:00,1179.0,993.0,1180.0082261488355,,,,-186.0,1.008226148835547,,-186.0,,
2024-12-16 06:30:00+01:00,1170.0,1002.0,1180.0082261488355,,,,-168.0,10.008226148835547,,-168.0,,
2024-12-16 06:45:00+01:00,1171.0,1066.0,1180.0082261488355,,,,-105.0,9.008226148835547,,-105.0,,
2024-12-16 07:00:00+01:00,1172.0,1164.0,1286.5684843684148,,,,-8.0,114.56848436841483,,-8.0,,
2024-12-16 07:15:00+01:00,1332.0,1251.0,1286.5684843684148,,,,-81.0,-45.43151563158517,,-81.0,,
2024-12-16 07:30:00+01:00,1333.0,1275.0,1286.5684843684148,,,,-58.0,-46.43151563158517,,-58.0,,
2024-12-16 07:45:00+01:00,1334.0,1373.0,1286.5684843684148,,,,39.0,-47.43151563158517,,39.0,,
2024-12-16 08:00:00+01:00,1336.0,1444.0,1340.5952601205959,,,,108.0,4.595260120595867,,108.0,,
2024-12-16 08:15:00+01:00,1460.0,1526.0,1340.5952601205959,,,,66.0,-119.40473987940413,,66.0,,
2024-12-16 08:30:00+01:00,1460.0,1574.0,1340.5952601205959,,,,114.0,-119.40473987940413,,114.0,,
2024-12-16 08:45:00+01:00,1464.0,1614.0,1340.5952601205959,,,,150.0,-123.40473987940413,,150.0,,
2024-12-16 09:00:00+01:00,1465.0,1657.0,1355.8269203513112,,,,192.0,-109.17307964868883,,192.0,,
2024-12-16 09:15:00+01:00,1666.0,1745.0,1355.8269203513112,,,,79.0,-310.1730796486888,,79.0,,
2024-12-16 09:30:00+01:00,1668.0,1748.0,1355.8269203513112,,,,80.0,-312.1730796486888,,80.0,,
2024-12-16 09:45:00+01:00,1671.0,1759.0,1355.8269203513112,,,,88.0,-315.1730796486888,,88.0,,
2024-12-16 10:00:00+01:00,1673.0,1804.0,1427.5463561358622,,,,131.0,-245.4536438641378,,131.0,,
2024-12-16 10:15:00+01:00,1907.0,1906.0,1427.5463561358622,,,,-1.0,-479.4536438641378,,-1.0,,
2024-12-16 10:30:00+01:00,1911.0,2004.0,1427.5463561358622,,,,93.0,-483.4536438641378,,93.0,,
2024-12-16 10:45:00+01:00,1916.0,2074.0,1427.5463561358622,,,,158.0,-488.4536438641378,,158.0,,
2024-12-16 11:00:00+01:00,1920.0,2123.0,1666.426224318028,,,,203.0,-253.57377568197194,,203.0,,
2024-12-16 11:15:00+01:00,2220.0,,1666.426224318028,,1666.426224318028,,,-553.5737756819719,,,-553.5737756819719,
2024-12-16 11:30:00+01:00,2223.0,,1666.426224318028,2260.946,1666.426224318028,2260.946,,-556.5737756819719,37.946044921875,,-556.5737756819719,37.946044921875
2024-12-16 11:45:00+01:00,2227.0,,1666.426224318028,2266.689,1666.426224318028,2266.689,,-560.5737756819719,39.68896484375,,-560.5737756819719,39.68896484375
2024-12-16 12:00:00+01:00,2230.0,,2066.128884253415,2355.176,2066.128884253415,2355.176,,-163.87111574658502,125.176025390625,,-163.87111574658502,125.176025390625
2024-12-16 12:15:00+01:00,2404.0,,2066.128884253415,2361.518,2066.128884253415,2361.518,,-337.871115746585,-42.48193359375,,-337.871115746585,-42.48193359375
2024-12-16 12:30:00+01:00,2406.0,,2066.128884253415,2356.851,2066.128884253415,2356.851,,-339.871115746585,-49.14892578125,,-339.871115746585,-49.14892578125
2024-12-16 12:45:00+01:00,2407.0,,2066.128884253415,2342.018,2066.128884253415,2342.018,,-340.871115746585,-64.98193359375,,-340.871115746585,-64.98193359375
2024-12-16 13:00:00+01:00,2409.0,,2378.1251300768886,2335.224,2378.1251300768886,2335.224,,-30.87486992311142,-73.77587890625,,-30.87486992311142,-73.77587890625
2024-12-16 13:15:00+01:00,2496.0,,2378.1251300768886,2317.082,2378.1251300768886,2317.082,,-117.87486992311142,-178.91796875,,-117.87486992311142,-178.91796875
2024-12-16 13:30:00+01:00,2496.0,,2378.1251300768886,2383.034,2378.1251300768886,2383.034,,-117.87486992311142,-112.966064453125,,-117.87486992311142,-112.966064453125
2024-12-16 13:45:00+01:00,2496.0,,2378.1251300768886,2387.786,2378.1251300768886,2387.786,,-117.87486992311142,-108.214111328125,,-117.87486992311142,-108.214111328125
2024-12-16 14:00:00+01:00,2497.0,,2626.6531609116505,2389.421,2626.6531609116505,2389.421,,129.6531609116505,-107.5791015625,,129.6531609116505,-107.5791015625
2024-12-16 14:15:00+01:00,2545.0,,2626.6531609116505,2408.751,2626.6531609116505,2408.751,,81.6531609116505,-136.2490234375,,81.6531609116505,-136.2490234375
2024-12-16 14:30:00+01:00,2545.0,,2626.6531609116505,2159.979,2626.6531609116505,2159.979,,81.6531609116505,-385.02099609375,,81.6531609116505,-385.02099609375
2024-12-16 14:45:00+01:00,2545.0,,2626.6531609116505,2137.876,2626.6531609116505,2137.876,,81.6531609116505,-407.1240234375,,81.6531609116505,-407.1240234375
2024-12-16 15:00:00+01:00,2545.0,,2728.5599617865987,2099.228,2728.5599617865987,2099.228,,183.5599617865987,-445.77197265625,,183.5599617865987,-445.77197265625
2024-12-16 15:15:00+01:00,2564.0,,2728.5599617865987,2121.266,2728.5599617865987,2121.266,,164.5599617865987,-442.73388671875,,164.5599617865987,-442.73388671875
2024-12-16 15:30:00+01:00,2565.0,,2728.5599617865987,2195.875,2728.5599617865987,2195.875,,163.5599617865987,-369.125,,163.5599617865987,-369.125
2024-12-16 15:45:00+01:00,2566.0,,2728.5599617865987,2172.986,2728.5599617865987,2172.986,,162.5599617865987,-393.013916015625,,162.5599617865987,-393.013916015625
2024-12-16 16:00:00+01:00,2567.0,,2751.997560953796,2045.471,2751.997560953796,2045.471,,184.99756095379598,-521.529052734375,,184.99756095379598,-521.529052734375
2024-12-16 16:15:00+01:00,2539.0,,2751.997560953796,2081.759,2751.997560953796,2081.759,,212.99756095379598,-457.240966796875,,212.99756095379598,-457.240966796875
2024-12-16 16:30:00+01:00,2539.0,,2751.997560953796,2068.233,2751.997560953796,2068.233,,212.99756095379598,-470.76708984375,,212.99756095379598,-470.76708984375
2024-12-16 16:45:00+01:00,2539.0,,2751.997560953796,1943.428,2751.997560953796,1943.428,,212.99756095379598,-595.572021484375,,212.99756095379598,-595.572021484375
2024-12-16 17:00:00+01:00,2539.0,,2643.3363335542367,1938.185,2643.3363335542367,1938.185,,104.33633355423672,-600.81494140625,,104.33633355423672,-600.81494140625
2024-12-16 17:15:00+01:00,2514.0,,2643.3363335542367,1962.692,2643.3363335542367,1962.692,,129.33633355423672,-551.3079833984375,,129.33633355423672,-551.3079833984375
2024-12-16 17:30:00+01:00,2514.0,,2643.3363335542367,1909.555,2643.3363335542367,1909.555,,129.33633355423672,-604.4449462890625,,129.33633355423672,-604.4449462890625
2024-12-16 17:45:00+01:00,2513.0,,2643.3363335542367,1897.72,2643.3363335542367,1897.72,,130.33633355423672,-615.280029296875,,130.33633355423672,-615.280029296875
2024-12-16 18:00:00+01:00,2513.0,,2535.6387413447883,1795.171,2535.6387413447883,1795.171,,22.638741344788286,-717.8289794921875,,22.638741344788286,-717.8289794921875
2024-12-16 18:15:00+01:00,2461.0,,2535.6387413447883,1792.05,2535.6387413447883,1792.05,,74.63874134478829,-668.949951171875,,74.63874134478829,-668.949951171875
2024-12-16 18:30:00+01:00,2460.0,,2535.6387413447883,1793.239,2535.6387413447883,1793.239,,75.63874134478829,-666.760986328125,,75.63874134478829,-666.760986328125
2024-12-16 18:45:00+01:00,2460.0,,2535.6387413447883,1793.315,2535.6387413447883,1793.315,,75.63874134478829,-666.68505859375,,75.63874134478829,-666.68505859375
2024-12-16 19:00:00+01:00,2459.0,,2461.9461078184863,1759.08,2461.9461078184863,1759.08,,2.9461078184863254,-699.9200439453125,,2.9461078184863254,-699.9200439453125
2024-12-16 19:15:00+01:00,2410.0,,2461.9461078184863,1737.384,2461.9461078184863,1737.384,,51.946107818486325,-672.615966796875,,51.946107818486325,-672.615966796875
2024-12-16 19:30:00+01:00,2409.0,,2461.9461078184863,1736.802,2461.9461078184863,1736.802,,52.946107818486325,-672.197998046875,,52.946107818486325,-672.197998046875
2024-12-16 19:45:00+01:00,2409.0,,2461.9461078184863,1721.103,2461.9461078184863,1721.103,,52.946107818486325,-687.89697265625,,52.946107818486325,-687.89697265625
2024-12-16 20:00:00+01:00,2408.0,,2415.296416199613,1677.874,2415.296416199613,1677.874,,7.29641619961285,-730.1259765625,,7.29641619961285,-730.1259765625
2024-12-16 20:15:00+01:00,2342.0,,2415.296416199613,1690.904,2415.296416199613,1690.904,,73.29641619961285,-651.095947265625,,73.29641619961285,-651.095947265625
2024-12-16 20:30:00+01:00,2340.0,,2415.296416199613,1854.828,2415.296416199613,1854.828,,75.29641619961285,-485.1719970703125,,75.29641619961285,-485.1719970703125
2024-12-16 20:45:00+01:00,2339.0,,2415.296416199613,1809.023,2415.296416199613,1809.023,,76.29641619961285,-529.97705078125,,76.29641619961285,-529.97705078125
2024-12-16 21:00:00+01:00,2338.0,,2377.4869895640927,1795.7,2377.4869895640927,1795.7,,39.48698956409271,-542.300048828125,,39.48698956409271,-542.300048828125
2024-12-16 21:15:00+01:00,2275.0,,2377.4869895640927,1772.225,2377.4869895640927,1772.225,,102.48698956409271,-502.7750244140625,,102.48698956409271,-502.7750244140625
2024-12-16 21:30:00+01:00,2275.0,,2377.4869895640927,1755.086,2377.4869895640927,1755.086,,102.48698956409271,-519.9139404296875,,102.48698956409271,-519.9139404296875
2024-12-16 21:45:00+01:00,2274.0,,2377.4869895640927,1770.141,2377.4869895640927,1770.141,,103.48698956409271,-503.8590087890625,,103.48698956409271,-503.8590087890625
2024-12-16 22:00:00+01:00,2274.0,,2344.5920182306336,1774.491,2344.5920182306336,1774.491,,70.59201823063358,-499.509033203125,,70.59201823063358,-499.509033203125
2024-12-16 22:15:00+01:00,2223.0,,2344.5920182306336,1767.51,2344.5920182306336,1767.51,,121.59201823063358,-455.489990234375,,121.59201823063358,-455.489990234375
2024-12-16 22:30:00+01:00,2222.0,,2344.5920182306336,1762.62,2344.5920182306336,1762.62,,122.59201823063358,-459.3800048828125,,122.59201823063358,-459.3800048828125
2024-12-16 22:45:00+01:00,2221.0,,2344.5920182306336,1748.687,2344.5920182306336,1748.687,,123.59201823063358,-472.31298828125,,123.59201823063358,-472.31298828125
2024-12-16 23:00:00+01:00,2220.0,,2347.4641096555565,1783.163,2347.4641096555565,1783.163,,127.46410965555651,-436.8370361328125,,127.46410965555651,-436.8370361328125
2024-12-16 23:15:00+01:00,0.0,,2347.4641096555565,1786.374,2347.4641096555565,1786.374,,2347.4641096555565,1786.3740234375,,2347.4641096555565,1786.3740234375
2024-12-16 23:30:00+01:00,0.0,,2347.4641096555565,1797.011,2347.4641096555565,1797.011,,2347.4641096555565,1797.010986328125,,2347.4641096555565,1797.010986328125
2024-12-16 23:45:00+01:00,0.0,,2347.4641096555565,1808.568,2347.4641096555565,1808.568,,2347.4641096555565,1808.5679931640625,,2347.4641096555565,1808.5679931640625
2024-12-17 00:00:00+01:00,0.0,,2333.1292765942626,1784.2,2333.1292765942626,1784.2,,2333.1292765942626,1784.199951171875,,2333.1292765942626,1784.199951171875
